,M,L,X,Y
0,4.303896742159608,0.07972334822809697,75.0,53.0
1,3.703816773215079,0.05080991663365642,54.0,49.0
2,3.4224470088633914,0.04008761303342703,47.0,82.0
3,3.013471112923885,0.02736535573151033,39.0,89.0
4,2.578260789704915,0.0171388047688725,58.0,92.0
5,2.2180483165015015,0.010912217330099968,13.0,25.0
6,2.133133681971523,0.009706311385544095,0.0,2.0
7,1.9202357796142155,0.0070804958541327125,39.0,54.0
8,1.7370016293152355,0.005240837300772093,12.0,63.0
9,1.6917046948371726,0.0048414300750685155,58.0,38.0
10,1.3918671100421522,0.002696455873482882,90.0,90.0
11,1.3554819184455393,0.0024904692621313404,24.0,25.0
12,1.2688615750741763,0.002042879439639103,54.0,58.0
13,1.224060697320571,0.0018340402433353077,32.0,29.0
14,1.169210080092402,0.001598371225569424,10.0,3.0
15,1.1506870158430507,0.0015236023640497203,37.0,31.0
16,1.041484731124323,0.0011296885366358998,13.0,19.0
17,1.0310811966439803,0.0010961717379900056,3.0,95.0
18,1.005384472697002,0.0010162405518392538,20.0,45.0
19,0.9925252407328696,0.0009777429206469686,63.0,46.0
20,0.9676634071230054,0.0009060933741579438,65.0,52.0
21,0.944795984220301,0.000843362169416124,40.0,64.0
22,0.9434238445640912,0.0008396930253539447,53.0,61.0
23,0.937683226468037,0.000824457820465998,81.0,55.0
24,0.8742591380110469,0.0006682216480132592,43.0,81.0
25,0.8677963420241768,0.0006535118175762143,56.0,74.0
26,0.8435998918915942,0.0006003569550464341,27.0,36.0
27,0.8421182364860658,0.0005971991995511175,10.0,9.0
28,0.8408889521741082,0.0005945877260592733,33.0,6.0
29,0.8318090298993667,0.000575533876760283,70.0,2.0
30,0.8207392913991921,0.0005528606435318727,25.0,97.0
31,0.8180844283058856,0.0005475129285102966,48.0,57.0
32,0.8075021945387145,0.0005265397147747209,24.0,97.0
33,0.7859265069166754,0.00048545145753699443,7.0,35.0
34,0.7821581645336187,0.00047850199091630885,52.0,46.0
35,0.7761852621986243,0.00046762333725732235,49.0,65.0
36,0.7531861489774043,0.0004272744997206445,18.0,13.0
37,0.7442422162976664,0.0004122331412844619,77.0,83.0
38,0.7355996972338942,0.0003980380825292976,34.0,77.0
39,0.7353358089392529,0.0003976098608431464,16.0,48.0
40,0.7281707445898423,0.0003860998913788003,39.0,64.0
41,0.7117148925832577,0.00036051070112141237,10.0,72.0
42,0.7056541496479242,0.0003513789164995733,69.0,5.0
43,0.701451125066492,0.00034513757900778315,48.0,45.0
44,0.6987930394181281,0.00034122882536948083,87.0,55.0
45,0.6925687525316827,0.00033219162506429705,21.0,80.0
46,0.6685091843615644,0.0002987597825541827,35.0,59.0
47,0.6673802968550955,0.0002972488221137221,19.0,15.0
48,0.6613776666381894,0.00028930009534897414,46.0,49.0
49,0.6611246716744957,0.00028896822684183624,96.0,84.0
50,0.6482383414858409,0.0002723981440755056,28.0,25.0
51,0.6415860858441715,0.00026409781635852963,6.0,44.0
52,0.6399733691571129,0.0002621112773819089,83.0,28.0
53,0.6354131628401481,0.00025654799301941397,56.0,39.0
54,0.6207189292577462,0.00023915803094987458,73.0,55.0
55,0.618745610453242,0.0002368843626981364,91.0,70.0
56,0.6164200755816323,0.000234223422778377,77.0,35.0
57,0.6116225341645132,0.00022879705684867774,74.0,18.0
58,0.6116022677602784,0.00022877431370365526,33.0,44.0
59,0.6020376689971972,0.000218208164748464,61.0,41.0
60,0.6016289796462139,0.00021776407877496814,69.0,48.0
61,0.6015369516287901,0.00021766416338626825,62.0,42.0
62,0.5997789047623832,0.00021576130512215337,22.0,61.0
63,0.5953271162345432,0.00021099248801378567,90.0,52.0
64,0.5930628520068929,0.00020859416956408067,37.0,8.0
65,0.587656660981605,0.00020294155768608497,60.0,11.0
66,0.5832468594218432,0.00019840710800445128,70.0,48.0
67,0.5826586906061255,0.00019780746877920335,24.0,94.0
68,0.5737142025572319,0.00018883687443516269,34.0,24.0
69,0.5690764270826486,0.00018429425129731853,29.0,81.0
70,0.5689562118816377,0.00018417748161794937,94.0,10.0
71,0.5639092370360567,0.00017931954393046997,85.0,67.0
72,0.5616980003897117,0.000177218327447268,54.0,51.0
73,0.5586413126369304,0.00017434084575331362,84.0,43.0
74,0.5558056950852608,0.0001716994790346347,72.0,97.0
75,0.5538506342212024,0.0001698939728340171,34.0,40.0
76,0.5528724194709113,0.00016899535817906002,71.0,32.0
77,0.5527995282340534,0.0001689285254545593,72.0,3.0
78,0.5518551423127279,0.00016806422659582196,63.0,56.0
79,0.5386266495540896,0.00015626564590779762,38.0,55.0
80,0.5347049935334334,0.00015287719997789543,50.0,54.0
81,0.534424376028036,0.00015263663270059105,38.0,11.0
82,0.5342398354733489,0.00015247856773523935,5.0,56.0
83,0.5330075879522935,0.00015142590405340346,55.0,8.0
84,0.5253542877174855,0.0001449962743945301,67.0,1.0
85,0.5241055228559695,0.00014396476363661199,13.0,50.0
86,0.5229192123824413,0.00014298938397103994,9.0,81.0
87,0.5215488275096914,0.00014186815482327385,32.0,88.0
88,0.5211690015234098,0.00014155842747402242,83.0,50.0
89,0.51811958273071,0.00013908811497386096,53.0,97.0
90,0.5153815822871479,0.0001368947155016764,39.0,0.0
91,0.5150828705088334,0.00013665682360300543,92.0,54.0
92,0.5125366539712002,0.00013464021237457056,93.0,25.0
93,0.5109426373242241,0.00013338790024632795,19.0,40.0
94,0.5065016727241798,0.0001299399370025257,34.0,83.0
95,0.505797124336028,0.00012939844804980388,88.0,74.0
96,0.5044454179341147,0.00012836379391069556,11.0,25.0
97,0.5018862118130147,0.00012642000226302137,74.0,94.0
98,0.501135311404639,0.00012585341841479667,52.0,17.0
99,0.5004610857745165,0.00012534613332905147,13.0,6.0
