,L,DL,X,Y
0,0.09262762778180934,0.001559841135020165,75.0,53.0
1,0.06068028212897649,0.0010287214123395616,54.0,49.0
2,0.04903619787718872,0.001287854088846199,47.0,82.0
3,0.03439239274851059,0.001406462310881042,39.0,89.0
4,0.02241881590571348,0.0008972502930005512,1.0,2.0
5,0.02220395612802736,0.0007618639846642677,58.0,92.0
6,0.014308911618527318,0.0009239211215359204,13.0,25.0
7,0.010666118203927474,0.00040610940504390134,39.0,54.0
8,0.008608762427567728,0.0008362460350995213,12.0,63.0
9,0.007702525058293553,0.000548490166954929,37.0,31.0
10,0.006337066813215603,0.000596208231546834,49.0,68.0
11,0.0062560343213351015,0.0004301970038074203,58.0,38.0
12,0.004316026397719857,0.0004568994142219885,91.0,89.0
13,0.003348106113541282,0.0006758629958581419,23.0,96.0
14,0.0031366369404641696,0.00023200563336937753,47.0,44.0
15,0.0031184675935370934,0.0005038429104952734,10.0,70.0
16,0.002836370229782542,0.0008672125033792624,24.0,24.0
17,0.0025837400374334124,0.00058141617735832,16.0,98.0
18,0.0024483930814853372,0.0003298819451537781,23.0,74.0
19,0.002381024345995091,0.0005348532181216984,9.0,54.0
20,0.0023379857150347375,0.00035692551587900327,78.0,44.0
21,0.0022856721271412067,0.0008414553003274725,43.0,74.0
22,0.0022499039736990677,0.0004889319126948168,24.0,9.0
23,0.0022376285837659017,0.0006186459870878446,48.0,91.0
24,0.0022046269188839306,0.00043191380273993125,35.0,23.0
25,0.0021691279249823323,0.0008573833581287915,23.0,42.0
26,0.002153333370437376,0.0008080603097906588,95.0,70.0
27,0.002037752460222335,0.00045951286591522215,21.0,60.0
28,0.0020377099585353114,0.0005681231739884129,48.0,33.0
29,0.002021857395778508,0.0006048615019995048,1.0,37.0
30,0.001976335030959938,0.0005207675220409906,16.0,54.0
31,0.0019473445615203267,0.0006684368216203905,12.0,48.0
32,0.0019294777508641078,0.0005093537451142507,63.0,45.0
33,0.0018875537714000668,0.0004260862462126463,30.0,99.0
34,0.0017678600804007683,0.0006954792508960068,36.0,7.0
35,0.0017486625443531984,0.0011618041518598112,83.0,68.0
36,0.0017050179399207882,0.0004859239412919745,69.0,98.0
37,0.001646110798595997,0.0004596732321730268,33.0,11.0
38,0.0016274394864714613,0.0005213219479455124,68.0,2.0
39,0.0015471107981304385,0.0004293105693119852,48.0,99.0
40,0.001533581709176473,0.0010966272863033514,38.0,79.0
41,0.0013576504157803977,0.00034135814472243336,8.0,80.0
42,0.001097280315252811,0.0003223760946515663,2.0,46.0
43,0.0010182231705573987,0.0001936027975117041,16.0,76.0
44,0.0009929805349043214,0.0004717200354986604,52.0,5.0
45,0.0009188726165722086,0.0005136112266712367,75.0,4.0
