# r-a	Dra	w-a	Dwa
8.526212949064932572e-03	5.243596289989651757e-04	2.411545964393420772e-03	6.498966436083008363e-04
4.310020393650249027e-03	7.101008301855680441e-04	1.923241121006914137e-03	5.078257812774350510e-04
3.780756663465628924e-03	4.329682426350963060e-04	1.791058526941018050e-03	7.394122595091107619e-04
2.255892390171593612e-03	5.854628295426269995e-04	1.337728412556404020e-03	4.875443555715044974e-04
1.702649515570076088e-03	3.805565825185603453e-04	1.131414689819186655e-03	2.867243928749606740e-04
1.134112080258683651e-03	5.176295148750074569e-04	1.663162467443403750e-02	9.152662880735856852e-04
-1.000000000000000000e+00	-1.000000000000000000e+00	1.649199701772212368e-02	9.677892295274831067e-04
-1.000000000000000000e+00	-1.000000000000000000e+00	9.270482380482275922e-03	1.032735026050751303e-03
-1.000000000000000000e+00	-1.000000000000000000e+00	5.800478691218192463e-03	7.184328117916468932e-04
-1.000000000000000000e+00	-1.000000000000000000e+00	4.171828302955198076e-03	4.579653830591464249e-04
-1.000000000000000000e+00	-1.000000000000000000e+00	3.780781407367934509e-03	4.329680268190888256e-04
-1.000000000000000000e+00	-1.000000000000000000e+00	2.000561760993353061e-03	5.720926187779028964e-04
-1.000000000000000000e+00	-1.000000000000000000e+00	1.593910681151308999e-03	3.232724451408371591e-04
-1.000000000000000000e+00	-1.000000000000000000e+00	1.544052883358106466e-03	3.264374183550051035e-04
