,L,DL,X,Y
0,0.04088472250455893,0.0012167341839170705,32.0,88.0
1,0.020437967246446163,0.0013073652122648017,69.0,48.0
2,0.016991899802266307,0.0009491302009816295,38.0,55.0
3,0.013422792798474654,0.0009415758808520081,12.0,63.0
4,0.010595455421272656,0.001061525809558182,24.0,97.0
5,0.008851101094733482,0.0010650223155396568,94.0,10.0
6,0.008649834008621137,0.0009923798810404817,5.0,56.0
7,0.00840109979160128,0.0015231737400049144,41.0,64.0
8,0.008395228441041439,0.0009882574441307376,99.0,84.0
9,0.007092868662904801,0.0009256467752154397,16.0,98.0
10,0.004275544774478477,0.0006810254895617843,49.0,68.0
11,0.0039530355239782355,0.0008709689920105563,27.0,98.0
12,0.0037704538143522926,0.001107186999870893,69.0,64.0
13,0.0035854817642782325,0.000494716456969321,35.0,7.0
14,0.0031744825458449315,0.000767329080502919,41.0,88.0
15,0.00313957303151956,0.0006608749208283199,93.0,70.0
16,0.0029625082540475317,0.0005523245462447983,7.0,45.0
17,0.0026544847799951257,0.00044023419396394653,69.0,98.0
18,0.002509328907028237,0.0005124753040972168,53.0,49.0
19,0.0024192296010542656,0.000500007492544989,71.0,40.0
20,0.0023755207016115526,0.0006243719673212102,16.0,55.0
21,0.0021122199711983733,0.0003562629771976294,34.0,23.0
22,0.002011734027055309,0.00044454023798912965,46.0,8.0
23,0.001973726196641212,0.00042440345384739717,23.0,42.0
24,0.001915603222433248,0.0006066717925507221,24.0,23.0
25,0.0019046969291083178,0.00043398243797596915,51.0,46.0
26,0.0018922923285325007,0.0003802075310861208,13.0,48.0
27,0.0018665504001143575,0.0004952385181335616,29.0,28.0
28,0.0017877732373604265,0.0005208250034828291,99.0,56.0
29,0.001752152053688584,0.0003054015261052296,22.0,60.0
30,0.0017274976245546872,0.0006340987074815411,32.0,38.0
31,0.001657979142516853,0.000802849479822103,19.0,98.0
32,0.0016313876789645642,0.00034244602336395427,48.0,33.0
33,0.0014368063769576687,0.00035366707680598947,60.0,31.0
34,0.0014330013277147756,0.0002380114875411103,8.0,79.0
35,0.0012808455385072584,0.00030394045382161364,14.0,32.0
36,0.001266042295947566,0.0005597671106463474,87.0,24.0
37,0.0011584556477335249,0.00048096961516280924,52.0,93.0
38,0.0011421275263580972,0.0005286407678053015,63.0,37.0
39,0.001082566120648718,0.0003912199687919276,83.0,67.0
40,0.0010077360799778535,0.00052711577514495,70.0,13.0
41,0.0009924481920307252,0.00026565758012580995,16.0,7.0
42,0.0008798126968727492,0.000287713260767595,53.0,27.0
43,0.0006551551224555714,0.0002090121909843756,67.0,29.0
44,0.000547133283897465,0.000265551331706087,73.0,7.0
45,0.0003880748173348116,0.00022533830312197544,43.0,28.0
46,0.000147312512054898,0.00010405080398495418,68.0,28.0
