,L,DL,X,Y
0,0.08952105249568963,0.001201093161729997,75.0,53.0
1,0.05857662893945702,0.0009523184064918397,54.0,49.0
2,0.04758506561620266,0.00161269762640638,47.0,82.0
3,0.03289026093209067,0.0011500990474232343,39.0,89.0
4,0.0218334238719563,0.0009439920747667937,1.0,2.0
5,0.016548186929646727,0.000786645134557135,58.0,92.0
6,0.013623778816977378,0.0006912373725577257,13.0,25.0
7,0.013242413299322268,0.0003639804500733116,13.0,62.0
8,0.008280977016525025,0.0005229219108648079,23.0,25.0
9,0.007034238759259778,0.00048699569347931943,39.0,36.0
10,0.0055127744843219,0.0006744257562693192,58.0,41.0
11,0.00440864303282279,0.0002910761296671525,7.0,31.0
12,0.0038424731058483686,0.0005993947858296632,61.0,38.0
13,0.0037401166426767906,0.0007641298070304993,58.0,75.0
14,0.003525907054753932,0.00042215805688857605,35.0,3.0
15,0.003513867015759624,0.0006072579219327356,42.0,62.0
16,0.0033009911061558372,0.0004192637102134557,64.0,52.0
17,0.003225367113326223,0.0010819068882092179,82.0,40.0
18,0.003175073200597573,0.00042299459543442534,32.0,10.0
19,0.0031301584242191473,0.0004397930733249603,91.0,90.0
20,0.0030594501514294315,0.00044864148545863,37.0,30.0
21,0.0029782127346967666,0.0005865391352219776,52.0,60.0
22,0.0028498935314323574,0.0008259347901305333,97.0,44.0
23,0.0027365151517420847,0.0005256534174278777,68.0,38.0
24,0.0026998328318489284,0.0008129082263122838,28.0,17.0
25,0.002489275861060573,0.00043797019948591247,53.0,49.0
26,0.0024210767438520775,0.000519647090565058,20.0,82.0
27,0.0023504678506883884,0.0022592524800840834,44.0,49.0
28,0.002284771517656321,0.0006336543064853666,21.0,48.0
29,0.0022547558076667635,0.000366022593383737,27.0,3.0
30,0.002239677590765563,0.0004513973972253626,14.0,53.0
31,0.0022282381658071835,0.0007114975607111452,26.0,32.0
32,0.0021999999727031925,0.0005289396517666298,46.0,56.0
33,0.0021926434044311402,0.0005243312235762098,69.0,60.0
34,0.002173760025861386,0.0005665826282656169,84.0,17.0
35,0.0021321297274035393,0.0006930127438044198,18.0,68.0
36,0.0021227410376292184,0.0007293973963396741,67.0,95.0
37,0.0020956956645768257,0.00058455434620921,33.0,75.0
38,0.0020165030091624375,0.0007690085248870952,91.0,81.0
39,0.002003070121768494,0.0005490094704785021,6.0,65.0
40,0.001983781163382175,0.0003532538751721953,31.0,27.0
41,0.00198216469798641,0.0005091127919459445,64.0,14.0
42,0.0019432020684372552,0.0005537438590269317,26.0,54.0
43,0.0018913396782603723,0.0006505330813952974,1.0,96.0
44,0.001885682859027165,0.0004724846929291801,79.0,33.0
45,0.0018449731722799837,0.00059507035701226,72.0,10.0
46,0.0018441780552287154,0.0008252004806750537,93.0,16.0
47,0.0018184414909545167,0.0013061458759644781,74.0,64.0
48,0.001810931953434756,0.0010635540000373523,3.0,24.0
49,0.0018083090976869867,0.0004410739527744096,74.0,94.0
50,0.0017038929963710393,0.0006574532844352696,38.0,70.0
51,0.0015839921867250612,0.00041902474542069597,85.0,7.0
52,0.0014232026042342361,0.0005125618911863432,88.0,88.0
53,0.0013626362125578415,0.000440906194970044,4.0,93.0
54,0.0013514462923884714,0.0003369990289864229,10.0,4.0
55,0.0013410648182746484,0.0005535595158406134,64.0,31.0
56,0.0013410245633910447,0.00044751833145766865,23.0,10.0
57,0.0012692480602495956,0.0005421873537619351,29.0,63.0
58,0.0012244328921132887,0.0005554014782143192,27.0,71.0
59,0.001089241838101412,0.0006474156600425471,8.0,90.0
